GeneID	Symbol	description
103164118	LOC103164118	coiled-coil domain-containing protein 121
103164119	LOC103164119	uncharacterized LOC103164119
103164123	LOC103164123	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1
103164124	LOC103164124	acyl-CoA-binding protein pseudogene
103164125	LOC103164125	uncharacterized LOC103164125
103164126	LOC103164126	60S ribosomal protein L30-like
103164127	LOC103164127	sperm-associated antigen 1
103164128	LOC103164128	T-cell receptor beta chain V region A20.2.25-like
103164131	LOC103164131	T-cell receptor beta chain V region PHDS203-like
103164132	LOC103164132	T-cell receptor beta chain V region C5-like
103164133	LOC103164133	T-cell receptor beta chain V region C5-like
103164134	LOC103164134	T-cell receptor beta chain V region C5-like
103164135	LOC103164135	T-cell receptor beta chain V region CTL-F3-like
103164136	LOC103164136	T-cell receptor beta chain V region 3H.25-like
103164137	LOC103164137	T-cell receptor beta chain V region 3H.25-like
103164138	LOC103164138	T-cell receptor beta chain V region YT35-like
103164139	LOC103164139	melanoma-associated antigen B4-like
103164140	LOC103164140	uncharacterized LOC103164140
103164141	LOC103164141	zinc finger protein 345
103164142	LOC103164142	uncharacterized LOC103164142
103164145	LOC103164145	uncharacterized LOC103164145
103164146	LOC103164146	rho guanine nucleotide exchange factor 28-like
103164148	LOC103164148	uncharacterized LOC103164148
103164151	LOC103164151	uncharacterized LOC103164151
103164152	LOC103164152	uncharacterized LOC103164152
103164154	LOC103164154	uncharacterized LOC103164154
103164155	LOC103164155	igE-binding protein-like
103164156	LOC103164156	protein diaphanous homolog 2
103164157	LOC103164157	spermine synthase pseudogene
103164160	LOC103164160	uncharacterized LOC103164160
103164162	LOC103164162	sarcoplasmic reticulum histidine-rich calcium-binding protein-like
103164163	LOC103164163	protein Shroom2-like
103164165	Ptprn	protein tyrosine phosphatase, receptor type N
103164169	LOC103164169	alpha-enolase-like
103164170	LOC103164170	uncharacterized LOC103164170
103164171	LOC103164171	uncharacterized LOC103164171
103164172	LOC103164172	uncharacterized LOC103164172
103164173	LOC103164173	uncharacterized LOC103164173
103164174	LOC103164174	uncharacterized LOC103164174
103164176	LOC103164176	uncharacterized LOC103164176
103164177	Cdkn1c	cyclin dependent kinase inhibitor 1C
103164178	LOC103164178	uncharacterized LOC103164178
103164179	LOC103164179	uncharacterized LOC103164179
103164180	LOC103164180	rab11 family-interacting protein 5-like
103164181	LOC103164181	probable N-acetyltransferase CML1
103164182	LOC103164182	protocadherin gamma-A10-like
103164184	LOC103164184	40S ribosomal protein S8 pseudogene
103164185	LOC103164185	uncharacterized LOC103164185
103164186	LOC103164186	uncharacterized LOC103164186
103164187	LOC103164187	uncharacterized LOC103164187
103164188	LOC103164188	inactive tyrosine-protein kinase 7
103164189	LOC103164189	zinc finger protein 227-like
103164190	LOC103164190	carcinoembryonic antigen-related cell adhesion molecule 1-like
103164191	LOC103164191	uncharacterized LOC103164191
103164194	LOC103164194	uncharacterized LOC103164194
103164195	LOC103164195	serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform pseudogene
103164196	LOC103164196	uncharacterized LOC103164196
103164197	Pth2	parathyroid hormone 2
103164199	LOC103164199	olfactory receptor 1361
103164201	LOC103164201	uncharacterized LOC103164201
103164202	LOC103164202	vegetative cell wall protein gp1-like
103164203	LOC103164203	uncharacterized LOC103164203
103164204	LOC103164204	U3 small nucleolar RNA-associated protein 15 homolog
103164206	LOC103164206	smith-Magenis syndrome chromosomal region candidate gene 8 protein homolog
103164207	LOC103164207	uncharacterized LOC103164207
103164214	Bbc3	BCL2 binding component 3
103164216	LOC103164216	uncharacterized LOC103164216
103164217	LOC103164217	uncharacterized protein K02A2.6
103164218	LOC103164218	non-histone chromosomal protein HMG-17 pseudogene
103164220	LOC103164220	uncharacterized LOC103164220
103164221	LOC103164221	uncharacterized LOC103164221
103164222	Khdc3l	KH domain containing 3 like, subcortical maternal complex member
103164223	LOC103164223	ATP-binding cassette sub-family A member 12
103164224	LOC103164224	ubiquitin-40S ribosomal protein S27a pseudogene
103164226	LOC103164226	smoothelin-like
103164227	LOC103164227	uncharacterized LOC103164227
103164228	Igsf22	immunoglobulin superfamily member 22
103164229	LOC103164229	zinc finger protein 431-like
103164230	LOC103164230	60S ribosomal protein L27 pseudogene
103164233	LOC103164233	ATP synthase subunit g, mitochondrial pseudogene
103164234	LOC103164234	potassium voltage-gated channel subfamily B member 2-like
103164235	Znf479	zinc finger protein 479
103164239	LOC103164239	uncharacterized LOC103164239
103164240	LOC103164240	uncharacterized LOC103164240
103164241	LOC103164241	A-kinase anchor protein 9-like
103164243	LOC103164243	uncharacterized LOC103164243
103164245	LOC103164245	suppressor of cytokine signaling 5-like
103164247	LOC103164247	uncharacterized LOC103164247
103164248	LOC103164248	short transient receptor potential channel 2
103164249	LOC103164249	protein SET-like
103164250	LOC103164250	uncharacterized LOC103164250
103164252	LOC103164252	uncharacterized LOC103164252
103164255	LOC103164255	uncharacterized LOC103164255
103164257	LOC103164257	uncharacterized LOC103164257
103164258	LOC103164258	uncharacterized LOC103164258
103164259	LOC103164259	male-specific submandibular salivary gland protein-like
103164260	LOC103164260	uncharacterized LOC103164260
103164261	LOC103164261	uncharacterized LOC103164261
103164262	LOC103164262	coiled-coil domain-containing protein 91-like
103164264	Camta1	calmodulin binding transcription activator 1
103164265	LOC103164265	keratin-associated protein 5-5-like
103164268	LOC103164268	uncharacterized LOC103164268
103164270	LOC103164270	uncharacterized LOC103164270
103164271	LOC103164271	small nuclear ribonucleoprotein F-like
103164272	LOC103164272	uncharacterized LOC103164272
103164274	LOC103164274	uncharacterized LOC103164274
103164275	LOC103164275	N-acetylglucosaminyl-phosphatidylinositol biosynthetic protein pseudogene
103164276	LOC103164276	N-acetylglucosaminyl-phosphatidylinositol biosynthetic protein pseudogene
103164277	Ccdc8	coiled-coil domain containing 8
103164280	LOC103164280	cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A-like
103164281	LOC103164281	uncharacterized LOC103164281
103164285	LOC103164285	GRB2-associated-binding protein 2 pseudogene
103164286	LOC103164286	Ig lambda chain V-IV region Hil-like
103164287	LOC103164287	2'-5'-oligoadenylate synthase 2
103164288	LOC103164288	uncharacterized LOC103164288
103164289	LOC103164289	uncharacterized LOC103164289
103164290	LOC103164290	uncharacterized LOC103164290
103164291	LOC103164291	chromobox protein homolog 3 pseudogene
103164292	LOC103164292	uncharacterized LOC103164292
103164294	LOC103164294	uncharacterized LOC103164294
103164295	CUNHXorf67	chromosome unknown CXorf67 homolog
103164296	Myorg	myogenesis regulating glycosidase (putative)
103164300	LOC103164300	uncharacterized LOC103164300
103164301	LOC103164301	T-cell receptor alpha chain V region PHDS58-like
103164302	LOC103164302	T-cell receptor alpha chain V region PHDS58-like
103164303	LOC103164303	uncharacterized LOC103164303
103164304	LOC103164304	uncharacterized LOC103164304
103164305	LOC103164305	uncharacterized LOC103164305
103164306	LOC103164306	protocadherin alpha-11-like
103164307	LOC103164307	protocadherin alpha-9 pseudogene
103164308	LOC103164308	protocadherin alpha-8-like
103164309	LOC103164309	protocadherin alpha-4-like
103164311	LOC103164311	melanoma-associated antigen F1-like
103164312	LOC103164312	uncharacterized LOC103164312
103164315	LOC103164315	translocon-associated protein subunit alpha-like
103164316	Ppef2	protein phosphatase with EF-hand domain 2
103164317	LOC103164317	uncharacterized LOC103164317
103164320	LOC103164320	uncharacterized LOC103164320
103164322	LOC103164322	uncharacterized LOC103164322
103164324	LOC103164324	uncharacterized LOC103164324
103164327	Znf764	zinc finger protein 764
103164329	LOC103164329	uncharacterized LOC103164329
103164330	LOC103164330	uncharacterized LOC103164330
103164331	LOC103164331	uncharacterized LOC103164331
103164333	LOC103164333	protein TCL1B2-like
103164334	LOC103164334	U1 small nuclear ribonucleoprotein C pseudogene
103164338	LOC103164338	uncharacterized LOC103164338
103164339	LOC103164339	nuclear ubiquitous casein and cyclin-dependent kinase substrate 1-like
103164340	LOC103164340	uncharacterized LOC103164340
103164341	LOC103164341	uncharacterized LOC103164341
103164344	Tmem238	transmembrane protein 238
103164345	LOC103164345	E3 ubiquitin-protein ligase makorin-1
103164347	LOC103164347	uncharacterized LOC103164347
103164348	LOC103164348	uncharacterized LOC103164348
103164350	Lmtk3	lemur tyrosine kinase 3
103164352	LOC103164352	MICOS complex subunit Mic10 pseudogene
103164353	LOC103164353	uncharacterized LOC103164353
103164356	LOC103164356	Ig kappa chain V-III region POM-like
103164358	LOC103164358	uncharacterized LOC103164358
103164362	LOC103164362	uncharacterized LOC103164362
103164364	LOC103164364	poly [ADP-ribose] polymerase 9-like
103164366	LOC103164366	uncharacterized LOC103164366
103164367	Cspp1	centrosome and spindle pole associated protein 1
103164368	LOC103164368	uncharacterized LOC103164368
103164369	LOC103164369	MLV-related proviral Env polyprotein-like
103164370	LOC103164370	uncharacterized LOC103164370
103164371	LOC103164371	keratin-associated protein 10-3
103164372	LOC103164372	60S ribosomal protein L27 pseudogene
103164373	LOC103164373	uncharacterized LOC103164373
103164377	LOC103164377	zinc finger protein 664
103164378	LOC103164378	uncharacterized LOC103164378
103164379	LOC103164379	myeloid cell surface antigen CD33
103164381	LOC103164381	uncharacterized LOC103164381
103164383	LOC103164383	histone H2A.Z pseudogene
103164384	LOC103164384	ankyrin repeat domain-containing protein 30A
103164385	LOC103164385	uncharacterized LOC103164385
103164387	LOC103164387	uncharacterized LOC103164387
103164388	LOC103164388	T-cell receptor alpha chain V region 2B4-like
103164389	LOC103164389	uncharacterized LOC103164389
103164390	LOC103164390	uncharacterized LOC103164390
103164391	LOC103164391	Ig lambda chain V-VI region AR-like
103164392	LOC103164392	zinc finger protein 57-like
103164393	LOC103164393	uncharacterized LOC103164393
103164394	LOC103164394	histone H3.v1
103164395	LOC103164395	uncharacterized LOC103164395
103164398	LOC103164398	TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L pseudogene
103164400	LOC103164400	uncharacterized LOC103164400
103164401	LOC103164401	uncharacterized LOC103164401
103164402	LOC103164402	UDP-glucuronosyltransferase 1-2-like
103164403	LOC103164403	uncharacterized LOC103164403
103164405	LOC103164405	collagen alpha-2(V) chain pseudogene
103164406	LOC103164406	uncharacterized LOC103164406
103164408	LOC103164408	A disintegrin and metalloproteinase with thrombospondin motifs 3-like
103164411	LOC103164411	Ig heavy chain V region 102-like
103164412	LOC103164412	Ig heavy chain V region 3-6-like
103164413	LOC103164413	Ig heavy chain V region 102-like
103164414	LOC103164414	Ig heavy chain V region 102-like
103164415	LOC103164415	Ig heavy chain V region 441-like
103164416	LOC103164416	Ig heavy chain V region 3-6-like
103164419	LOC103164419	Ig heavy chain V region 1B43-like
103164420	LOC103164420	Ig heavy chain V region 3-6-like
103164422	LOC103164422	Ig heavy chain V-III region 23-like
103164423	LOC103164423	uncharacterized LOC103164423
103164424	LOC103164424	protein bicaudal D homolog 1-like
103164425	LOC103164425	uncharacterized LOC103164425
103164426	LOC103164426	uncharacterized LOC103164426
103164427	LOC103164427	zinc finger protein 609-like
103164428	LOC103164428	uncharacterized LOC103164428
103164429	LOC103164429	von Willebrand factor A domain-containing protein 5A-like
103164432	LOC103164432	uncharacterized LOC103164432
103164433	LOC103164433	uncharacterized LOC103164433
103164436	LOC103164436	alpha-enolase-like
103164437	LOC103164437	uncharacterized LOC103164437
103164439	LOC103164439	putative V-set and immunoglobulin domain-containing-like protein IGHV4OR15-8
103164440	LOC103164440	Ig heavy chain V region 108A-like
103164441	LOC103164441	Ig heavy chain V region 3-like
103164442	LOC103164442	Ig heavy chain V region 3-6-like
103164443	LOC103164443	Ig heavy chain V region 3-6-like
103164444	LOC103164444	Ig heavy chain V-III region 23-like
103164445	LOC103164445	uncharacterized LOC103164445
103164447	LOC103164447	Ig heavy chain V-III region 23-like
103164448	LOC103164448	Ig heavy chain V region VH558 A1/A4-like
103164449	LOC103164449	Ig heavy chain V region 5A-like
103164450	LOC103164450	Ig heavy chain V-III region 23-like
103164451	LOC103164451	Ig heavy chain V region VH558 A1/A4-like
103164452	LOC103164452	Ig heavy chain V region 102-like
103164453	LOC103164453	Ig heavy chain V region 5A-like
103164454	LOC103164454	Ig heavy chain V region 102-like
103164455	LOC103164455	Ig heavy chain V-III region 23-like
103164456	LOC103164456	uncharacterized LOC103164456
103164457	LOC103164457	keratin-associated protein 9-1
103164458	LOC103164458	keratin-associated protein 9-1-like
103164459	LOC103164459	keratin-associated protein 9-2-like
103164462	LOC103164462	keratin-associated protein 9-3-like
103164463	LOC103164463	uncharacterized LOC103164463
103164465	LOC103164465	Ig kappa chain V-II region 26-10-like
103164466	LOC103164466	vegetative cell wall protein gp1-like
103164467	LOC103164467	C-terminal-binding protein 2 pseudogene
103164468	LOC103164468	zinc finger protein 407
103164470	LOC103164470	uncharacterized LOC103164470
103164471	LOC103164471	Ig heavy chain V region 102-like
103164472	LOC103164472	Ig heavy chain V region 102-like
103164475	LOC103164475	Ig heavy chain V region 102-like
103164476	LOC103164476	Ig heavy chain V region 23-like
103164477	LOC103164477	Ig heavy chain V region 102-like
103164479	LOC103164479	aminopeptidase O
103164480	LOC103164480	uncharacterized LOC103164480
103164482	LOC103164482	Ig heavy chain V-I region 5-like
103164483	LOC103164483	mastermind-like protein 3
103164484	LOC103164484	uncharacterized LOC103164484
103164485	LOC103164485	uncharacterized LOC103164485
103164487	LOC103164487	uncharacterized LOC103164487
103164489	LOC103164489	uncharacterized protein YBL113C-like
103164492	LOC103164492	uncharacterized LOC103164492
103164493	LOC103164493	collagen alpha-1(XXIV) chain-like
103164494	LOC103164494	uncharacterized LOC103164494
103164495	LOC103164495	uncharacterized LOC103164495
103164496	LOC103164496	chloride intracellular channel protein 5-like
103164498	LOC103164498	transcription factor 7-like 2 pseudogene
103164499	LOC103164499	uncharacterized LOC103164499
103164500	LOC103164500	low-density lipoprotein receptor-related protein 1B-like
103164501	LOC103164501	uncharacterized LOC103164501
103164502	LOC103164502	sperm-tail PG-rich repeat-containing protein 2-like
103164503	LOC103164503	probable GPI-anchored adhesin-like protein PGA55
103164505	LOC103164505	beta-klotho pseudogene
103164506	LOC103164506	cadherin EGF LAG seven-pass G-type receptor 1-like
103164508	LOC103164508	uncharacterized LOC103164508
103164509	LOC103164509	Ig kappa chain V-IV region-like
103164511	LOC103164511	tropomyosin alpha-3 chain
103164512	LOC103164512	uncharacterized LOC103164512
103164513	LOC103164513	uncharacterized LOC103164513
103164515	LOC103164515	uncharacterized LOC103164515
103164516	LOC103164516	Ig kappa chain V-IV region-like
103164518	LOC103164518	uncharacterized LOC103164518
103164519	LOC103164519	uncharacterized LOC103164519
103164520	LOC103164520	sperm motility kinase X-like
103164522	LOC103164522	uncharacterized LOC103164522
103164523	LOC103164523	uncharacterized LOC103164523
103164525	LOC103164525	uncharacterized LOC103164525
103164526	LOC103164526	heat shock protein HSP 90-alpha pseudogene
103164529	LOC103164529	RNA polymerase II transcription factor SIII subunit A2-like
103164530	LOC103164530	uncharacterized LOC103164530
103164532	LOC103164532	Ig kappa chain V-II region 26-10-like
103164533	LOC103164533	uncharacterized LOC103164533
103164534	LOC103164534	uncharacterized LOC103164534
103164535	LOC103164535	PR domain zinc finger protein 16-like
103164536	LOC103164536	mucin-22
103164537	LOC103164537	uncharacterized LOC103164537
103164538	LOC103164538	Ig heavy chain V region VH558 A1/A4-like
103164539	LOC103164539	uncharacterized LOC103164539
103164540	LOC103164540	cyclin-dependent kinase 11B-like
103164542	LOC103164542	Ig heavy chain V region 102-like
103164543	LOC103164543	poly [ADP-ribose] polymerase 9
103164544	LOC103164544	zinc finger protein 431-like
103164546	LOC103164546	uncharacterized LOC103164546
103164548	LOC103164548	Ig heavy chain V region 3-like
103164549	LOC103164549	Ig heavy chain V region 186-1-like
103164550	LOC103164550	Ig heavy chain V region 102-like
103164551	LOC103164551	Ig heavy chain V-III region 23-like
103164553	LOC103164553	brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 2
103164554	LOC103164554	microphthalmia-associated transcription factor-like
103164555	LOC103164555	Ig kappa chain V-V region K2-like
103164556	LOC103164556	zinc finger protein 16
103164558	LOC103164558	uncharacterized LOC103164558
103164560	LOC103164560	sperm motility kinase-like
103164561	LOC103164561	Ig heavy chain V region 102-like
103164563	LOC103164563	soluble scavenger receptor cysteine-rich domain-containing protein SSC5D-like
103164565	LOC103164565	uncharacterized LOC103164565
103164567	LOC103164567	collagen alpha-3(VI) chain
103164569	LOC103164569	complex I intermediate-associated protein 30, mitochondrial pseudogene
103164570	LOC103164570	uncharacterized LOC103164570
103164571	LOC103164571	uncharacterized LOC103164571
103164572	LOC103164572	uncharacterized LOC103164572
103164574	LOC103164574	AF4/FMR2 family member 1
103164575	LOC103164575	forkhead box protein D4-like
103164576	LOC103164576	guanylate-binding protein 2-like
103164579	LOC103164579	ninein-like
103164582	LOC103164582	uncharacterized protein YMR317W-like
103164585	LOC103164585	uncharacterized LOC103164585
103164586	LOC103164586	uncharacterized LOC103164586
103164587	LOC103164587	Ig heavy chain V region 5A-like
103164588	LOC103164588	Ig heavy chain V region 3-like
103164589	LOC103164589	Ig heavy chain V-III region 23-like
103164590	LOC103164590	Ig heavy chain V region 102-like
103164591	LOC103164591	Ig heavy chain V region 108A-like
103164593	LOC103164593	Ig heavy chain V region PJ14-like
103164594	LOC103164594	Ig heavy chain V region MC101-like
103164596	LOC103164596	Ig heavy chain V region VH558 A1/A4-like
103164597	LOC103164597	ubiquitin-60S ribosomal protein L40 pseudogene
103164598	LOC103164598	zinc finger and SCAN domain-containing protein 4
103164599	LOC103164599	26S proteasome non-ATPase regulatory subunit 3
103164600	LOC103164600	gasdermin-A-like
105349233	Synb	syncytin b
107976968	LOC107976968	nuclear factor NF-kappa-B p105 subunit
107976969	LOC107976969	draxin-like
107976970	LOC107976970	butyrophilin-like protein 2
107976971	LOC107976971	vacuolar protein sorting-associated protein 13D-like
107976972	LOC107976972	Ig kappa chain V-IV region-like
107976973	LOC107976973	actin-related protein 2 pseudogene
107976974	LOC107976974	non-histone chromosomal protein HMG-17 pseudogene
107976975	LOC107976975	cell division cycle-associated protein 3 pseudogene
107976976	LOC107976976	carcinoembryonic antigen-related cell adhesion molecule 3-like
107976977	LOC107976977	60 kDa heat shock protein, mitochondrial pseudogene
107976978	Cntn3	contactin 3
107976979	LOC107976979	uncharacterized LOC107976979
107976980	LOC107976980	arylacetamide deacetylase-like 4 pseudogene
107976981	LOC107976981	von Willebrand factor A domain-containing protein 5A-like
107976982	LOC107976982	Ig heavy chain V region 186-1-like
107976983	LOC107976983	olfactory receptor 4F21-like
107976984	LOC107976984	testis-expressed sequence 11 protein-like
107976985	LOC107976985	uncharacterized LOC107976985
107976986	LOC107976986	T-cell receptor alpha chain V region CTL-L17-like
107976987	LOC107976987	olfactory receptor 51V1-like
107976988	LOC107976988	zinc finger protein 345-like
107976989	LOC107976989	protocadherin gamma-A3-like
107976990	Prpf8	pre-mRNA processing factor 8
107976991	LOC107976991	VPS10 domain-containing receptor SorCS1-like
107976992	LOC107976992	complement factor H-like
107976993	LOC107976993	tight junction protein ZO-2
107976994	LOC107976994	aldehyde oxidase 1-like
107976995	LOC107976995	glyceraldehyde-3-phosphate dehydrogenase pseudogene
107976996	LOC107976996	NADPH--cytochrome P450 reductase
107976997	LOC107976997	reticulon-1-A-like
107976998	LOC107976998	mitochondrial import inner membrane translocase subunit Tim13-like
107976999	Col4a2	collagen type IV alpha 2 chain
107977000	Rbbp7	RB binding protein 7, chromatin remodeling factor
107977001	LOC107977001	uncharacterized LOC107977001
107977002	LOC107977002	VPS10 domain-containing receptor SorCS1
107977003	LOC107977003	WASH complex subunit strumpellin-like
107977004	LOC107977004	ectonucleoside triphosphate diphosphohydrolase 8-like
107977005	LOC107977005	endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase-like
107977006	Elac2	elaC ribonuclease Z 2
107977007	LOC107977007	fer-1-like protein 6
107977008	LOC107977008	claudin-34-like
107977009	LOC107977009	leukocyte immunoglobulin-like receptor subfamily B member 3
107977010	LOC107977010	EF-hand calcium-binding domain-containing protein 8-like
107977011	LOC107977011	kinesin-like protein KIF21A
107977012	Iqcm	IQ motif containing M
107977013	LOC107977013	uncharacterized LOC107977013
107977014	LOC107977014	uncharacterized LOC107977014
107977015	LOC107977015	olfactory receptor 14J1-like
107977016	LOC107977016	myosin-9-like
107977017	LOC107977017	zinc finger protein 420-like
107977018	LOC107977018	poly(A) polymerase alpha pseudogene
107977019	LOC107977019	40S ribosomal protein S6
107977020	LOC107977020	protein piccolo-like
107977021	Astn2	astrotactin 2
107977022	LOC107977022	complement factor H-like
107977023	LOC107977023	cytochrome P450 11B2, mitochondrial
107977024	Ocel1	occludin/ELL domain containing 1
107977025	LOC107977025	carcinoembryonic antigen-related cell adhesion molecule 3-like
107977026	LOC107977026	disks large homolog 4-like
107977027	Sv2b	synaptic vesicle glycoprotein 2B
107977028	LOC107977028	crossover junction endonuclease MUS81-like
107977029	LOC107977029	coagulation factor VIII-like
107977030	LOC107977030	tubulin polyglutamylase TTLL11-like
107977031	LOC107977031	vitamin D3 receptor pseudogene
107977032	LOC107977032	teneurin-1-like
107977033	LOC107977033	collagen alpha-1(V) chain-like
107977034	LOC107977034	protein FAM188B2
107977035	LOC107977035	protein C-ets-1 pseudogene
107977036	LOC107977036	HEAT repeat-containing protein 5A-like
107977037	LOC107977037	T-cell receptor beta-1 chain C region-like
107977038	LOC107977038	collagen alpha-3(VI) chain-like
107977039	LOC107977039	collagen alpha-1(V) chain-like
107977040	Gucy1a2	guanylate cyclase 1 soluble subunit alpha 2
107977041	LOC107977041	zinc finger protein 728-like
107977042	LOC107977042	histone-lysine N-methyltransferase KMT5B-like
107977043	LOC107977043	fibroblast growth factor receptor 2-like
107977044	LOC107977044	interferon-induced protein with tetratricopeptide repeats 1-like
107977045	LOC107977045	disheveled-associated activator of morphogenesis 1-like
107977046	Add3	adducin 3
107977047	Hs2st1	heparan sulfate 2-O-sulfotransferase 1
107977048	LOC107977048	voltage-dependent N-type calcium channel subunit alpha-1B-like
107977049	Gdf5	growth differentiation factor 5
107977050	LOC107977050	VPS10 domain-containing receptor SorCS3-like
107977051	LOC107977051	collagen alpha-4(IV) chain-like
107977052	Inpp1	inositol polyphosphate-1-phosphatase
107977053	LOC107977053	mannan-binding lectin serine protease 2-like
107977054	LOC107977054	uncharacterized LOC107977054
107977055	LOC107977055	SRSF protein kinase 2-like
107977056	LOC107977056	olfactory receptor 10J3-like
107977057	Rhof	ras homolog family member F, filopodia associated
107977058	LOC107977058	ORM1-like protein 1 pseudogene
107977059	Rtl6	retrotransposon Gag like 6
107977060	Pam16	presequence translocase associated motor 16
107977061	LOC107977061	proteasome subunit alpha type-3 pseudogene
107977062	LOC107977062	H-2 class I histocompatibility antigen, Q10 alpha chain-like
107977063	Hsd17b13	hydroxysteroid 17-beta dehydrogenase 13
107977064	LOC107977064	tripartite motif-containing protein 15-like
107977065	LOC107977065	glyceraldehyde-3-phosphate dehydrogenase pseudogene
107977066	LOC107977066	uncharacterized LOC107977066
107977067	LOC107977067	keratin-associated protein 10-8-like
107977068	LOC107977068	transcription factor E4F1-like
107977069	LOC107977069	protocadherin beta-18-like
107977070	LOC107977070	tRNA (guanine(26)-N(2))-dimethyltransferase pseudogene
107977071	LOC107977071	filamin A-interacting protein 1-like
107977072	LOC107977072	uncharacterized LOC107977072
107977073	LOC107977073	T-cell ecto-ADP-ribosyltransferase 1-like
107977074	LOC107977074	olfactory receptor 6C2-like
107977075	LOC107977075	protein FAM127C-like
107977076	LOC107977076	interferon alpha-12-like
107977077	LOC107977077	olfactory receptor 1537-like
107977078	LOC107977078	matrix metalloproteinase-23-like
107977079	LOC107977079	olfactory receptor 2D3-like
107977080	LOC107977080	zinc finger protein 120-like
107977081	LOC107977081	leukocyte immunoglobulin-like receptor subfamily B member 3A
107977082	LOC107977082	speckle-type POZ protein pseudogene
107977083	LOC107977083	Ig heavy chain V region 6.96-like
107977084	LOC107977084	vomeronasal type-1 receptor 4-like
107977085	LOC107977085	cytochrome P450 2B1-like
107977086	LOC107977086	Ig heavy chain V region 102-like
107977087	LOC107977087	butyrophilin-like protein 1
107977088	LOC107977088	protein ARMCX6-like
107977089	LOC107977089	zinc finger MYND domain-containing protein 19 pseudogene
107977090	LOC107977090	Ig heavy chain V-III region 23-like
107977091	LOC107977091	nucleoporin SEH1 pseudogene
107977092	LOC107977092	vomeronasal type-2 receptor 1-like
107977093	LOC107977093	opioid growth factor receptor pseudogene
107977094	LOC107977094	chromatin target of PRMT1 protein pseudogene
107977095	LOC107977095	putative V-set and immunoglobulin domain-containing-like protein IGHV4OR15-8
107977096	LOC107977096	proto-oncogene FRAT1-like
107977097	LOC107977097	T-cell receptor alpha chain V region CTL-L17-like
107977098	LOC107977098	Ig heavy chain V-II region COR-like
107977099	LOC107977099	acidic leucine-rich nuclear phosphoprotein 32 family member A pseudogene
107977100	LOC107977100	leukocyte immunoglobulin-like receptor subfamily B member 3A
107977101	LOC107977101	Ig heavy chain V region 3-like
107977102	Gimap4	GTPase, IMAP family member 4
107977103	LOC107977103	enhancer of rudimentary homolog
107977104	LOC107977104	olfactory receptor 4C6-like
107977105	LOC107977105	olfactory receptor 6C6-like
107977106	LOC107977106	vomeronasal type-1 receptor 4-like
107977107	LOC107977107	vomeronasal type-1 receptor 4-like
107977108	LOC107977108	CD209 antigen-like protein A
107977109	LOC107977109	olfactory receptor 5-like
107977110	LOC107977110	disintegrin and metalloproteinase domain-containing protein 29-like
107977111	LOC107977111	olfactory receptor 14A2-like
107977112	LOC107977112	hereditary hemochromatosis protein homolog
107977113	LOC107977113	Ig heavy chain V-III region 23-like
107977114	LOC107977114	Ig lambda chain V-VI region WLT-like
107977115	LOC107977115	olfactory receptor 2Y1-like
107977116	LOC107977116	L-amino-acid oxidase-like
107977117	LOC107977117	ribosome biogenesis regulatory protein homolog
107977118	LOC107977118	60S ribosomal protein L19 pseudogene
107977119	LOC107977119	ras-related protein Rab-1A pseudogene
107977120	LOC107977120	protein-tyrosine sulfotransferase 1
107977121	LOC107977121	olfactory receptor 481-like
107977122	LOC107977122	proto-oncogene FRAT1-like
107977123	LOC107977123	proto-oncogene FRAT1-like
107977124	LOC107977124	olfactory receptor 4K1-like
107977125	LOC107977125	ribonuclease P protein subunit p21-like
107977126	LOC107977126	transcription initiation factor TFIID subunit 9-like
107977127	LOC107977127	zinc finger MYM-type protein 3-like
107977128	LOC107977128	zinc transporter 4-like
107977129	LOC107977129	zinc finger protein 11-like
107977130	LOC107977130	glyceraldehyde-3-phosphate dehydrogenase pseudogene
107977131	LOC107977131	sodium/potassium/calcium exchanger 6, mitochondrial
107977132	LOC107977132	nuclear transport factor 2 pseudogene
107977133	LOC107977133	heat shock 70 kDa protein 1A
107977134	LOC107977134	ATP synthase F(0) complex subunit C2, mitochondrial pseudogene
107977135	LOC107977135	trace amine-associated receptor 3
107977136	LOC107977136	succinyl-CoA:3-ketoacid coenzyme A transferase 2A, mitochondrial
107977137	LOC107977137	uncharacterized LOC107977137
107977138	LOC107977138	U3 small nucleolar RNA-associated protein 14 homolog C-like
107977139	LOC107977139	glutathione S-transferase omega-1-like
107977140	LOC107977140	ubiquitin-conjugating enzyme E2 variant 1 pseudogene
107977141	LOC107977141	pescadillo homolog pseudogene
107977142	LOC107977142	calcium-binding and coiled-coil domain-containing protein 2 pseudogene
107977143	LOC107977143	urea transporter 2
107977144	LOC107977144	zinc finger protein 112-like
107977145	LOC107977145	coiled-coil domain-containing protein 30-like
107977146	LOC107977146	mitogen-activated protein kinase kinase kinase 13-like
107977147	LOC107977147	ankyrin-1-like
107977148	LOC107977148	insulin growth factor-like family member 4
107977149	LOC107977149	adherens junction-associated protein 1
